,SampleName,grupos,ShortNAme,Colors
1,GSM3143969,Infection total,IT69,red
2,GSM3143970,Infection total,IT70,red
3,GSM3143971,Infection total,IT71,red
4,GSM3143972,Control total,CT72,blue
5,GSM3143973,Control total,CT73,blue
6,GSM3143974,Control total,CT74,blue
7,GSM3143975,Infection polyA,IP75,green
8,GSM3143976,Infection polyA,IP76,green
9,GSM3143977,Infection polyA,IP77,green
10,GSM3143978,Control polyA,CP78,darkgoldenrod2
11,GSM3143979,Control polyA,CP79,darkgoldenrod2
12,GSM3143980,Control polyA,CP80,darkgoldenrod2
